Transportation expense,Distance from Residence to Work,Service time,Years until retirement,Education,Number of children,Social drinker,Social smoker,Number of pets,Weight,Height,Body mass index,Absenteeism time in hours_count,Absenteeism time in hours_sum,Absenteeism time in hours_mean
235,11,14.0,28.0,Postgraduate,1,,,1,88.0,172,29,24,122,5.083333333333333
235,29,12.0,17.0,High School,1,,,5,88.0,163,33,6,25,4.166666666666667
179,51,18.0,27.0,High School,0,,,0,89.0,170,31,122,501,4.10655737704918
118,14,13.0,25.0,High School,1,,,8,98.0,170,34,1,0,0.0
235,20,13.0,22.0,High School,1,,,0,106.0,167,38,20,112,5.6
189,29,13.0,32.0,High School,2,,,2,69.0,167,25,8,72,9.0
279,5,14.0,26.0,High School,2,,,0,68.0,168,24,6,30,5.0
231,35,14.0,26.0,High School,2,,,2,100.0,170,35,2,0,0.0
228,14,16.0,7.0,High School,2,,,1,65.0,172,22,10,377,37.7
361,52,3.0,37.0,High School,1,,,4,80.0,172,27,27,202,7.481481481481482
289,36,13.0,32.0,High School,2,,,1,90.0,172,30,43,478,11.116279069767442
233,51,1.0,34.0,Graduate,1,,,8,68.0,178,21,8,36,4.5
369,17,12.0,34.0,High School,3,,,0,70.0,169,25,17,210,12.352941176470589
155,12,14.0,31.0,High School,2,,,0,95.0,196,25,32,562,17.5625
291,31,12.0,25.0,High School,1,,,1,73.0,171,25,40,263,6.575
118,15,24.0,19.0,High School,2,,,0,75.0,175,25,2,16,8.0
179,22,17.0,25.0,Graduate,2,,,0,63.0,170,22,22,135,6.136363636363637
330,16,4.0,37.0,Graduate,0,,,0,84.0,182,25,17,119,7.0
291,50,12.0,33.0,High School,0,,,0,65.0,169,23,3,6,2.0
260,50,11.0,29.0,High School,4,,,0,65.0,168,23,50,350,7.0
268,11,8.0,32.0,Graduate,0,,,0,79.0,178,25,3,16,5.333333333333333
179,26,9.0,35.0,Postgraduate,0,,,0,56.0,171,19,49,259,5.285714285714286
378,49,11.0,29.0,High School,2,,,4,65.0,174,21,8,40,5.0
246,25,16.0,24.0,High School,0,,,0,67.0,170,23,33,303,9.181818181818182
235,16,8.0,33.0,Postgraduate,0,,,0,75.0,178,25,11,50,4.545454545454546
300,26,13.0,22.0,High School,2,,,1,77.0,175,25,5,83,16.6
184,42,7.0,38.0,High School,0,,,0,58.0,167,21,7,27,3.857142857142857
225,26,9.0,37.0,High School,1,,,2,69.0,169,24,82,365,4.451219512195122
225,15,15.0,24.0,Master’s or PhD,2,,,2,94.0,182,28,5,21,4.2
157,27,6.0,36.0,High School,0,,,0,75.0,185,22,7,31,4.428571428571429
388,15,9.0,15.0,High School,0,,,0,76.0,178,24,3,16,5.333333333333333
289,48,29.0,16.0,High School,0,,,2,108.0,172,36,5,16,3.2
248,25,14.0,18.0,High School,2,,,1,86.0,165,32,27,84,3.111111111111111
118,10,10.0,28.0,High School,0,,,0,83.0,172,28,58,350,6.0344827586206895
179,45,14.0,27.0,High School,1,,,1,77.0,175,25,1,0,0.0
118,13,18.0,15.0,High School,1,,,0,98.0,178,31,36,393,10.916666666666666
